file,source_type,pages_count,text_chars,references_count,style,dominant_bucket,foot_intext_total,foot_success_occurrences,foot_bib_unique_total,foot_missing_intext_expected_total,foot_missing_footnotes_for_seen_total,foot_uncited_footnote_total,tex_intext_total,tex_success_occurrences,tex_bib_unique_total,numeric_intext_total,numeric_success_occurrences,numeric_bib_unique_total,author_year_intext_total,author_year_success_occurrences,author_year_bib_unique_total
python_backend_legacy/dataset/7da9998ed0e085dba55e0988d1a46267b5d7d8dd2fb70f7849efcbdf7f63a70f.json,raw_json,20,63804,0,hybrid,tex,0,0,0,0,0,0,26,0,0,6,0,0,0,0,0
python_backend_legacy/dataset/7dde314289acd5fff7871a4742efe45a9838a01a759ccc5ddd603bda07bbffab.json,raw_json,13,35495,1,author_year,author_year,0,0,0,0,0,0,0,0,0,0,0,0,5,5,37
python_backend_legacy/dataset/7e31b3ba3a52577ea0088276f67eb9afd3870a3ca89afff3a8fc7a18cfce645e.json,raw_json,8,34629,0,hybrid,tex,0,0,0,0,0,0,9,0,0,5,0,0,2,0,0
python_backend_legacy/dataset/7e75a4b20f745440d5b7c51b1d5df38977798f44ad98c4289287d0de14eaed5f.json,raw_json,29,74981,0,hybrid,tex,0,0,0,0,0,0,26,0,0,2,0,0,0,0,0
python_backend_legacy/dataset/7e8cacf72003bb205fdecf2c4d5429d5e4a95212816bd96ddd02c56572d6b95e.json,raw_json,31,86946,0,hybrid,tex,0,0,0,0,0,0,24,0,0,7,0,0,11,0,0
python_backend_legacy/dataset/7ee69e5eb27e0f3f9eb883d08cadaa86fa60a4aeebf4a5b8447325f820b02ff8.json,raw_json,20,83292,0,author_year,author_year,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
python_backend_legacy/dataset/7f3c6ffad1f9304fa9a8123192ab719b34bfdf70bf145b7ad08b568503998b2a.json,raw_json,22,73697,0,author_year,author_year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
python_backend_legacy/dataset/7f7b467e1cbf330ae2dc616eb2b75867f325eb6bb07c2b22488e561eddd3ceb1.json,raw_json,21,71501,1,author_year,author_year,0,0,0,0,0,0,0,0,0,0,0,0,71,60,111
python_backend_legacy/dataset/7f7b714e07d1a6855dd881447d8a99ce56107c969097651a208156759b15381c.json,raw_json,32,58265,1,numeric,numeric,0,0,0,0,0,0,0,0,0,17,0,5,0,0,295
python_backend_legacy/dataset/8037315a18a3f41d64a4467ecb203e15fca83fa707ace680faa7148d8945ac6f.json,raw_json,28,48548,1,numeric,numeric,0,0,0,0,0,0,0,0,0,12,12,33,0,0,77
python_backend_legacy/dataset/815c0a6a7c358ebf003934e81b7e5377594bbd9f38c43f2043dc4e36d1450bf1.json,raw_json,29,64483,0,author_year,author_year,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
python_backend_legacy/dataset/81a7b4d5aabe3358bb9746d9da8830c45462ff6a5988b8dfb56e88cfbce736ad.json,raw_json,27,72811,0,numeric,numeric,0,0,0,0,0,0,0,0,0,13,0,0,1,0,0
python_backend_legacy/dataset/81c4f08e073eb08c28023380be7ff7ca8bc399ee39d443e61b9230fd792b1c2a.json,raw_json,15,31587,0,author_year,author_year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
python_backend_legacy/dataset/8334b16aa3cdd214c0bc16d21cee62e2ddac3de1f741e9d39873fab271fb07f9.json,raw_json,19,60512,1,tex_superscript,tex,15,0,0,73,15,0,0,0,0,10,0,6,2,0,254
