file,source_type,pages_count,text_chars,references_count,baseline_style,baseline_dominant_bucket,current_style,current_dominant_bucket,base_dom_intext_total,base_dom_success_occurrences,base_dom_bib_unique_total,base_dom_success_percentage,cur_dom_intext_total,cur_dom_success_occurrences,cur_dom_bib_unique_total,cur_dom_success_percentage,delta_dom_intext_total,delta_dom_success_occurrences,delta_dom_bib_unique_total,delta_dom_success_percentage,base_foot_intext_total,base_foot_success_occurrences,base_foot_bib_unique_total,cur_foot_intext_total,cur_foot_success_occurrences,cur_foot_bib_unique_total,delta_foot_success_occurrences,delta_foot_success_percentage,base_tex_intext_total,base_tex_success_occurrences,base_tex_bib_unique_total,cur_tex_intext_total,cur_tex_success_occurrences,cur_tex_bib_unique_total,delta_tex_success_occurrences,delta_tex_success_percentage,base_numeric_intext_total,base_numeric_success_occurrences,base_numeric_bib_unique_total,cur_numeric_intext_total,cur_numeric_success_occurrences,cur_numeric_bib_unique_total,delta_numeric_success_occurrences,delta_numeric_success_percentage,base_author_year_intext_total,base_author_year_success_occurrences,base_author_year_bib_unique_total,cur_author_year_intext_total,cur_author_year_success_occurrences,cur_author_year_bib_unique_total,delta_author_year_success_occurrences,delta_author_year_success_percentage,error
python_backend_legacy/dataset/5fb31ff44dcec6aee0e4cc624be492d9aa3cc9df9c2bbfe85e3a854d2de4c58d.json,raw_json,23,41500,1,author_year,author_year,author_year,author_year,41,41,113,100,41,41,113,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,41,113,41,41,113,0,0,
python_backend_legacy/dataset/600524315d283cd4e89f46cbeffe0727d1e45a13c957f04d60ebd2f11ac509ae.json,raw_json,24,58308,1,superscript,tex,superscript,tex,86,86,67,100,86,86,67,100,0,0,0,0,5,0,0,57,0,0,0,0,86,86,67,86,86,67,0,0,7,0,0,7,0,0,0,0,0,0,99,0,0,99,0,0,
python_backend_legacy/dataset/6112b679345433c0eb7a0dddaf7b8d27be9c7498fe32b693b667801efaecd2c7.json,raw_json,28,72404,0,superscript,tex,superscript,tex,211,211,122,100,211,211,122,100,0,0,0,0,14,0,0,157,0,0,0,0,211,211,122,211,211,122,0,0,32,0,0,32,0,0,0,0,8,6,127,8,6,127,0,0,
python_backend_legacy/dataset/6181a9ad7e7d56819a62f646e6de0f7d2135c37ff39566190e8348c0fd5a55b0.json,raw_json,23,80136,0,author_year,author_year,author_year,author_year,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,15,0,0,15,0,0,0,0,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,
python_backend_legacy/dataset/61bf3f6d0f99a88c7cf9781161e246b0019ef554386fc2f2c596f13d0870ede9.json,raw_json,36,86820,0,superscript,tex,superscript,tex,22,22,29,100,22,22,29,100,0,0,0,0,3,0,0,20,0,0,0,0,22,22,29,22,22,29,0,0,9,0,0,9,0,0,0,0,0,0,108,0,0,108,0,0,
python_backend_legacy/dataset/61d31745459257dadb770c518af3b0a3c8726ef89272545669ab646b5214efb3.json,raw_json,58,113552,1,numeric,numeric,numeric,numeric,226,226,226,100,226,226,226,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,24,0,0,226,226,226,226,226,226,0,0,1,1,325,1,1,325,0,0,
python_backend_legacy/dataset/61f291a03a85a219e3c46bd74d9c58892a07db9e57ff20df432942b9d3f6dd9a.json,raw_json,33,107647,0,superscript,tex,superscript,tex,26,26,18,100,26,26,18,100,0,0,0,0,0,0,104,19,0,104,0,0,26,26,18,26,26,18,0,0,3,3,104,3,3,104,0,0,1,1,80,1,1,80,0,0,
python_backend_legacy/dataset/62543f97d653b95edfa742a9a657b6a570f32adf04f0606265d8a13be713d0e3.json,raw_json,32,94311,0,superscript,tex,superscript,tex,198,198,117,100,198,198,117,100,0,0,0,0,14,0,0,138,0,0,0,0,198,198,117,198,198,117,0,0,1,1,1,1,1,1,0,0,1,0,140,1,0,140,0,0,
python_backend_legacy/dataset/63e696d768922ea89bcaa42bd78924e07615958b5bf7b164b24710e8aebbd59a.json,raw_json,15,43094,0,superscript,tex,superscript,tex,68,68,61,100,68,68,61,100,0,0,0,0,0,0,0,58,0,0,0,0,68,68,61,68,68,61,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,
python_backend_legacy/dataset/647a42e856aa02d94f2dc502f6130295614cc719ba90f296af1ea6f6d0b995d0.json,raw_json,30,54184,0,superscript,tex,superscript,tex,156,156,115,100,156,156,115,100,0,0,0,0,0,0,0,117,0,0,0,0,156,156,115,156,156,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
